Long Name Version,Typeform registration link,PMS,Meta-title,Meta-description,slug,Website,Clinic Name,Display_on_web,link to clinic suburb page,Full Address,City,Suburb,State,Postcode,Email,Phone,nearby1_txt,nearby1_link,nearby2_txt,nearby2_link,nearby3_txt,nearby3_link,nearby4_txt,nearby4_link,About Clinic
SportsCare and Physiotherapy - Barton,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at SportsCare and Physiotherapy, Barton","Book a physiotherapy appointment at SportsCare and Physiotherapy, located at 7A/3 Sydney Avenue, Barton ACT 2600. See their availability and book online today.",/clinic/sportscare-and-physiotherapy-barton,https://www.sportscarephysio.com.au/,SportsCare and Physiotherapy,Yes,act/barton-2600,"7A/3 Sydney Avenue, Barton ACT 2600",Canberra,Barton,ACT,2600,barton@sportscarephysio.com.au,02 6273 6586,Capital Hill,act/capital-hill-2600,Russell,act/russell-2600,Parkes,act/parkes-2600,Deakin,act/deakin-2600,"SportsCare and Physiotherapy and their fantastic staff take pride in their one on one approach to treatment, allowing their patients to take back control of their lives! Located at 7A/3 Sydney Avenue, Barton ACT 2600, SportsCare and Physiotherapy work with patients suffering from elbow pain, wry neck and injuries pertaining to working from home. SportsCare and Physiotherapy service Barton, Capital Hill, Russell and Parkes. Request a time to see their physios on 02 6273 6586 immediately!"
Belconnen Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at Belconnen Physiotherapy, Belconnen","Book a physiotherapy appointment at Belconnen Physiotherapy, located at Unit 1/20 Purdue Street, Belconnen ACT 2617. See their availability and book online today.",/clinic/belconnen-physiotherapy,http://belconnen.physio/,Belconnen Physiotherapy,Yes,act/belconnen-2617,"Unit 1/20 Purdue Street, Belconnen ACT 2617",Canberra,Belconnen,ACT,2617,reception@belconnen.physio,02 6251 3487,Bruce,act/bruce-2617,Mckellar,act/mckellar-2617,Evatt,act/evatt-2617,Giralang,act/giralang-2617,"Belconnen Physiotherapy and their wonderful physiotherapists take an individualised approach to patient treatment, helping you get back on your feet! Located at Unit 1/20 Purdue Street, Belconnen ACT 2617, Belconnen Physiotherapy look after shoulder pain, plantar fasciitis and sporting injuries. Belconnen Physiotherapy service Belconnen, Bruce, Mckellar and Evatt. Book a time with their friendly team on 02 6251 3487 pronto!"
Performance Edge Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at Performance Edge Physiotherapy, Belconnen","Book a physiotherapy appointment at Performance Edge Physiotherapy, located at 12/100 Eastern Valley Way, Belconnen ACT 2617. See their availability and book online today.",/clinic/performance-edge-physiotherapy-belconnen,https://www.pephysio.net.au/,Performance Edge Physiotherapy,No,act/belconnen-2617,"12/100 Eastern Valley Way, Belconnen ACT 2617",Canberra,Belconnen,ACT,2617,admin@performanceedge.net.au,02 6162 0252,Bruce,act/bruce-2617,Mckellar,act/mckellar-2617,Evatt,act/evatt-2617,Giralang,act/giralang-2617,"Performance Edge Physiotherapy and their professional staff provide you with one on one manual therapy, with their number one goal being patient satisfaction! Located at 12/100 Eastern Valley Way, Belconnen ACT 2617, Performance Edge Physiotherapy team are experts in neck pain, sciatica and issues resulting from a poor office setup. Performance Edge Physiotherapy service Belconnen, Bruce, Mckellar and Evatt. Book a physio appointment on 02 6162 0252 straight away!"
Atlas Sports & Dance Physiotherapy,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,Book an appointment at Atlas Sports & Dance Physiotherapy.,"Book a physiotherapy appointment at Atlas Sports & Dance Physiotherapy, located at 69/30 Lonsdale Street, Braddon ACT 2612. See their availability and book online today.",/clinic/atlas-sports-and-dance-physiotherapy,https://www.atlasphysio.com.au/,Atlas Sports & Dance Physiotherapy,No,act/braddon-2612,"69/30 Lonsdale Street, Braddon ACT 2612",Canberra,Braddon,ACT,2612,admin@atlasphysio.com.au,02 6248 5505,Turner,act/turner-2612,City,act/city-2601,Reid,act/reid-2612,Ainslie,act/ainslie-2602,"Atlas Sports & Dance Physiotherapy and their wonderful physiotherapists give you tailored and specific patient treatment, striving for long term cures, not short term fixes! Located at 69/30 Lonsdale Street, Braddon ACT 2612, Atlas Sports & Dance Physiotherapy team are great at treating back pain, frozen shoulders and tennis elbow from overwork. Atlas Sports & Dance Physiotherapy service Braddon, Turner, City and Reid. Make an enquiry on 02 6248 5505 straight away!"
Momentum Sports and Rehabilitation Services,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,Book an appointment at Momentum Sports and Rehabilitation Services.,"Book a physiotherapy appointment at Momentum Sports and Rehabilitation Services, located at Suites 5-6, 28 Thynne Street. See their availability and book online today.",/clinic/momentum-sports-and-rehabilitation-services,https://momentumsr.com.au/,Momentum Sports and Rehabilitation Services,Yes,act/bruce-2617,"Suites 5-6, 28 Thynne Street, Bruce ACT 2617",Canberra,Bruce,ACT,2617,contact@momentumsr.com.au,02 6210 0060,Aranda,act/aranda-2614,Lawson,act/lawson-2617,Kaleen,act/kaleen-2617,Belconnen,act/belconnen-2617,"Momentum Sports and Rehabilitation Services and their hard-working practitioners provide specific and tailored patient-care, motivated to get you back on track! Located at Suites 5-6, 28 Thynne Street, Momentum Sports and Rehabilitation Services team are experts in joint pain, wry neck and pain from prolonged office work. Momentum Sports and Rehabilitation Services service Bruce, Aranda, Lawson and Kaleen. Enquire on 02 6210 0060 straight away!"
Capital Clinic Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,Book an appointment at Capital Clinic Physiotherapy.,"Book a physiotherapy appointment at Capital Clinic Physiotherapy, located at 15 London Circuit, Canberra CBD ACT 2600. See their availability and book online today.",/clinic/capital-clinic-physiotherapy,https://www.capitalclinicphysio.com.au/,Capital Clinic Physiotherapy,Yes,act/canberra-cbd-2600,"15 London Circuit, Canberra CBD ACT 2600",Canberra,Canberra CBD,ACT,2600,hi@chinese-whispers.com.au,02 6153 6200,Reid,act/reid-2612,Braddon,act/braddon-2612,Turner,act/turner-2612,Acton,act/acton-2601,"Capital Clinic Physiotherapy and their exceptional physical therapists take a holistic approach to treatment, helping you regain independence and be pain-free once more! Located at 15 London Circuit, Canberra CBD ACT 2600, Capital Clinic Physiotherapy are experts in dealing with hip issues, rotator cuff tears and injuries pertaining to working from home. Capital Clinic Physiotherapy service Canberra CBD, Reid, Braddon and Turner. Contact their physiotherapy clinic to book an appointment on 02 6153 6200 now!"
SportsCare and Physiotherapy - Canberra CBD,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at SportsCare and Physiotherapy, Canberra CBD","Book a physiotherapy appointment at SportsCare and Physiotherapy, located at Suite NG 93 Parliament House, Canberra CBD ACT 2600. See their availability and book online today.",/clinic/sportscare-and-physiotherapy-canberra cbd,https://www.sportscarephysio.com.au/,SportsCare and Physiotherapy,No,act/canberra-cbd-2600,"Suite NG 93 Parliament House, Canberra CBD ACT 2600",Canberra,Canberra CBD,ACT,2600,belinda.preston@sportscarephysio.com.au,02 6248 9841,Reid,act/reid-2612,Braddon,act/braddon-2612,Turner,act/turner-2612,Acton,act/acton-2601,"SportsCare and Physiotherapy and their devoted physiotherapists take pride in their one on one approach to physio treatment, striving for long term cures, not short term fixes! Located at Suite NG 93 Parliament House, Canberra CBD ACT 2600, SportsCare and Physiotherapy predominantly treat ankle issues, disc bulges and issues relating to a poor ergonomic setup. SportsCare and Physiotherapy service Canberra CBD, Reid, Braddon and Turner. Book a time with them on 02 6248 9841 straight away!"
CSportR - Crace,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at CSportR, Crace","Book a physiotherapy appointment at CSportR, located at 1/5 Baratta Street, Crace ACT 2911. See their availability and book online today.",/clinic/csportr-crace,https://csportr.com.au/,CSportR,No,act/crace-2911,"1/5 Baratta Street, Crace ACT 2911",Canberra,Crace,ACT,2911,info@csportr.com.au,02 6162 0999,Mitchell,act/mitchell-2617,Kaleen,act/kaleen-2617,Lawson,act/lawson-2617,Giralang,act/giralang-2617,"CSportR and their empathetic practitioners take pride in their one on one approach to physio, caring for all of their patients and their individual needs! Located at 1/5 Baratta Street, Crace ACT 2911, CSportR love treating chronic issues, sacroiliac joint dysfunction and tennis elbow from overuse. CSportR service Crace, Mitchell, Kaleen and Lawson. Request an appointment with their experienced physiotherapists on 02 6162 0999 asap!"
SportsCare and Physiotherapy - Dickson,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at SportsCare and Physiotherapy, Dickson","Dickson Park Professional Centre, Cowper Street, Dickson ACT 2602",/clinic/sportscare-and-physiotherapy-dickson-cowper-street,https://www.sportscarephysio.com.au/,SportsCare and Physiotherapy,No,act/dickson-2602,"Dickson Park Professional Centre, Cowper Streets Dickson, ACT 2602",Canberra,Dickson,ACT,2602,belinda.preston@sportscarephysio.com.au,02 6248 9841,Watson,act/watson-2602,Downer,act/downer-2602,Lyneham,act/lyneham-2602,Ainslie,act/ainslie-2602,"SportsCare and Physiotherapy and their wonderful practitioners give you tailored and specific physio treatment, helping you reduce pain, and regain your independence! Located at Dickson Park Professional Centre, Cowper Street, Dickson ACT 2602, SportsCare and Physiotherapy love treating hand pain, corked thighs and sports injuries. SportsCare and Physiotherapy service Dickson, Watson, Downer and Lyneham. Call their physiotherapy clinic on 02 6248 9841 pronto!"
SportsCare and Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at SportsCare and Physiotherapy, Dickson","Book a physiotherapy appointment at SportsCare and Physiotherapy, located at Level 1, Unit 2 /55 Woolley Street Dickson, ACT 2602. See their availability and book online today.",/clinic/sportscare-and-physiotherapy-dickson-woolley-street,https://www.sportscarephysio.com.au/,SportsCare and Physiotherapy,No,act/dickson-2602,"Level 1, Unit 2 /55 Woolley Street Dickson, ACT 2602",Canberra,Dickson,ACT,2602,belinda.preston@sportscarephysio.com.au,02 6248 0473,Watson,act/watson-2602,Downer,act/downer-2602,Lyneham,act/lyneham-2602,Ainslie,act/ainslie-2602,"SportsCare and Physiotherapy and their caring physiotherapists take an individualised approach to physical therapy, with their number one goal being patient satisfaction! Located at Level 1, Unit 2 /55 Woolley Street Dickson, ACT 2602, SportsCare and Physiotherapy team are experts in ankle pain, disc bulges and pain from prolonged office work. SportsCare and Physiotherapy service Dickson, Watson, Downer and Lyneham. Call their physiotherapy clinic on 02 6248 0473 right now!"
